0,1,2
-6004.844,1,55401
-5988.580,1,51046
-5972.338,1,50077
-5956.118,1,50111
-5939.919,1,50078
-5923.741,1,50021
-5907.584,1,50009
-5891.449,1,49932
-5875.335,1,50016
-5859.242,1,50050
-5843.170,1,49972
-5827.119,1,49984
-5811.090,1,49989
-5795.081,1,49993
-5779.093,1,50010
-5763.126,1,49978
-5747.180,1,50031
-5731.255,1,50091
-5715.351,1,50048
-5699.467,1,49985
-5683.604,1,50013
-5667.762,1,50011
-5651.940,1,50089
-5636.139,1,50028
-5620.359,1,50022
-5604.599,1,49978
-5588.859,1,49971
-5573.140,1,50036
-5557.441,1,49987
-5541.763,1,50042
-5526.105,1,50018
-5510.467,1,50036
-5494.849,1,50060
-5479.252,1,50005
-5463.674,1,50061
-5448.117,1,50070
-5432.580,1,50089
-5417.063,1,50030
-5401.566,1,50068
-5386.089,1,50090
-5370.632,1,50117
-5355.194,1,50093
-5339.777,1,50102
-5324.379,1,50076
-5309.001,1,50161
-5293.643,1,50093
-5278.305,1,50140
-5262.986,1,50065
-5247.687,1,50092
-5232.407,1,50265
-5217.147,1,50230
-5201.906,1,50107
-5186.685,1,50125
-5171.483,1,50111
-5156.301,1,50103
-5141.138,1,50135
-5125.994,1,50168
-5110.870,1,50223
-5095.764,1,50251
-5080.678,1,50156
-5065.612,1,50223
-5050.564,1,50222
-5035.535,1,50194
-5020.526,1,50272
-5005.535,1,50250
-4990.564,1,50270
-4975.611,1,50189
-4960.677,1,50239
-4945.763,1,50227
-4930.867,1,50194
-4915.989,1,50226
-4901.131,1,50234
-4886.291,1,50218
-4871.470,1,50237
-4856.668,1,50270
-4841.884,1,50368
-4827.119,1,50277
-4812.373,1,50272
-4797.645,1,50259
-4782.935,1,50285
-4768.244,1,50298
-4753.572,1,50424
-4738.917,1,50311
-4724.281,1,50361
-4709.664,1,50361
-4695.065,1,50401
-4680.483,1,50531
-4665.921,1,50491
-4651.376,1,50289
-4636.849,1,50422
-4622.341,1,50382
-4607.851,1,50347
-4593.378,1,50447
-4578.924,1,50401
-4564.488,1,50447
-4550.069,1,50434
-4535.669,1,50434
-4521.286,1,50391
-4506.921,1,50436
-4492.575,1,50492
-4478.245,1,50445
-4463.934,1,50541
-4449.640,1,50470
-4435.364,1,50530
-4421.106,1,50450
-4406.865,1,50562
-4392.642,1,50500
-4378.436,1,50526
-4364.248,1,50609
-4350.077,1,50552
-4335.924,1,50651
-4321.788,1,50607
-4307.670,1,50562
-4293.569,1,50592
-4279.485,1,50560
-4265.418,1,50589
-4251.369,1,50715
-4237.337,1,50719
-4223.323,1,50658
-4209.325,1,50774
-4195.344,1,50656
-4181.381,1,50676
-4167.435,1,50669
-4153.505,1,50666
-4139.593,1,50659
-4125.698,1,50661
-4111.819,1,50654
-4097.958,1,50712
-4084.113,1,50659
-4070.286,1,50683
-4056.475,1,50627
-4042.681,1,50644
-4028.903,1,50663
-4015.143,1,50713
-4001.399,1,50678
-3987.671,1,50748
-3973.961,1,50668
-3960.267,1,50749
-3946.589,1,50741
-3932.928,1,50765
-3919.284,1,50814
-3905.656,1,50785
-3892.045,1,50778
-3878.450,1,50762
-3864.871,1,50880
-3851.309,1,50866
-3837.763,1,50798
-3824.233,1,50855
-3810.720,1,50948
-3797.223,1,50949
-3783.742,1,50938
-3770.277,1,50947
-3756.829,1,50937
-3743.396,1,50948
-3729.980,1,50922
-3716.580,1,50969
-3703.196,1,51050
-3689.827,1,51059
-3676.475,1,51115
-3663.139,1,51052
-3649.819,1,51006
-3636.514,1,51062
-3623.226,1,51072
-3609.953,1,51067
-3596.696,1,51172
-3583.455,1,51127
-3570.230,1,51215
-3557.021,1,51173
-3543.827,1,51278
-3530.649,1,51300
-3517.486,1,51281
-3504.339,1,51170
-3491.208,1,51155
-3478.092,1,51134
-3464.992,1,51307
-3451.907,1,51391
-3438.838,1,51368
-3425.784,1,51380
-3412.746,1,51347
-3399.723,1,51340
-3386.716,1,51442
-3373.723,1,51432
-3360.746,1,51398
-3347.785,1,51458
-3334.839,1,51399
-3321.907,1,51351
-3308.992,1,51542
-3296.091,1,51494
-3283.205,1,51507
-3270.335,1,51496
-3257.480,1,51503
-3244.639,1,51590
-3231.814,1,51567
-3219.004,1,51650
-3206.209,1,51608
-3193.429,1,51686
-3180.663,1,51626
-3167.913,1,51543
-3155.178,1,51605
-3142.457,1,51713
-3129.751,1,51758
-3117.061,1,51780
-3104.384,1,51892
-3091.723,1,51850
-3079.076,1,51878
-3066.445,1,51879
-3053.827,1,52003
-3041.225,1,52113
-3028.637,1,52145
-3016.064,1,52121
-3003.505,1,52195
-2990.961,1,52259
-2978.431,1,52296
-2965.916,1,52324
-2953.415,1,52252
-2940.929,1,52302
-2928.457,1,52276
-2916.000,1,52258
-2903.557,1,52315
-2891.128,1,52456
-2878.714,1,52272
-2866.314,1,52362
-2853.928,1,52441
-2841.557,1,52407
-2829.200,1,52427
-2816.857,1,52576
-2804.528,1,52507
-2792.213,1,52571
-2779.913,1,52686
-2767.627,1,52614
-2755.354,1,52587
-2743.096,1,52574
-2730.852,1,52616
-2718.622,1,52671
-2706.405,1,52597
-2694.203,1,52596
-2682.015,1,52690
-2669.841,1,52826
-2657.680,1,52794
-2645.534,1,52629
-2633.401,1,52771
-2621.282,1,52795
-2609.177,1,52854
-2597.085,1,52740
-2585.008,1,52766
-2572.944,1,52737
-2560.894,1,52943
-2548.857,1,52963
-2536.835,1,52987
-2524.825,1,53001
-2512.830,1,52868
-2500.848,1,53066
-2488.879,1,53112
-2476.925,1,53037
-2464.983,1,53171
-2453.055,1,53173
-2441.141,1,53121
-2429.240,1,53202
-2417.353,1,53143
-2405.479,1,53162
-2393.618,1,53338
-2381.771,1,53245
-2369.937,1,53293
-2358.116,1,53370
-2346.309,1,53340
-2334.515,1,53384
-2322.734,1,53499
-2310.966,1,53457
-2299.212,1,53437
-2287.471,1,53395
-2275.742,1,53550
-2264.028,1,53524
-2252.326,1,53580
-2240.637,1,53450
-2228.961,1,53395
-2217.299,1,53551
-2205.649,1,53611
-2194.013,1,53712
-2182.389,1,53737
-2170.778,1,53691
-2159.181,1,53669
-2147.596,1,53769
-2136.024,1,53719
-2124.465,1,53775
-2112.919,1,53814
-2101.386,1,53844
-2089.865,1,54585
-2078.358,1,55475
-2066.863,1,55174
-2055.381,1,54558
-2043.911,1,54012
-2032.455,1,53986
-2021.011,1,53990
-2009.579,1,54072
-1998.160,1,54065
-1986.754,1,54114
-1975.361,1,54091
-1963.980,1,54151
-1952.612,1,54140
-1941.256,1,54294
-1929.912,1,54305
-1918.582,1,54124
-1907.263,1,54304
-1895.957,1,54352
-1884.664,1,54365
-1873.383,1,54237
-1862.114,1,54259
-1850.858,1,54487
-1839.614,1,54495
-1828.383,1,54627
-1817.163,1,54482
-1805.956,1,54613
-1794.762,1,54662
-1783.579,1,54502
-1772.409,1,54610
-1761.251,1,54652
-1750.105,1,54780
-1738.972,1,54690
-1727.850,1,54653
-1716.741,1,54617
-1705.644,1,54692
-1694.559,1,54876
-1683.486,1,54952
-1672.425,1,54962
-1661.376,1,55005
-1650.339,1,54984
-1639.314,1,55062
-1628.301,1,55037
-1617.300,1,54997
-1606.311,1,54943
-1595.334,1,55033
-1584.368,1,55230
-1573.415,1,55279
-1562.473,1,55305
-1551.544,1,55212
-1540.626,1,55242
-1529.720,1,55292
-1518.825,1,55326
-1507.943,1,55155
-1497.072,1,55289
-1486.213,1,55263
-1475.366,1,55403
-1464.530,1,55447
